BID,NCBI:637
BIK,NCBI:638
PRDM1,NCBI:639
BLK,NCBI:640
BLM,NCBI:641
BLMH,NCBI:642
CXCR5,NCBI:643
BLVRA,NCBI:644
BLVRB,NCBI:645
BNC1,NCBI:646
BMI1,NCBI:648
BMP1,NCBI:649
BMP2,NCBI:650
BMP3,NCBI:651
BMP4,NCBI:652
BMP5,NCBI:653
BMP6,NCBI:654
BMP7,NCBI:655
BMP8B,NCBI:656
BMPR1A,NCBI:657
BMPR1B,NCBI:658
BMPR2,NCBI:659
BMX,NCBI:660
POLR3D,NCBI:661
BNIP1,NCBI:662
BNIP2,NCBI:663
BNIP3,NCBI:664
BNIP3L,NCBI:665
BOK,NCBI:666
DST,NCBI:667
FOXL2,NCBI:668
BPGM,NCBI:669
BPHL,NCBI:670
BPI,NCBI:671
BRCA1,NCBI:672
BRAF,NCBI:673
BRCA2,NCBI:675
BRDT,NCBI:676
ZFP36L1,NCBI:677
ZFP36L2,NCBI:678
BRS3,NCBI:680
BSG,NCBI:682
BST1,NCBI:683
BST2,NCBI:684
BTC,NCBI:685
BTD,NCBI:686
KLF9,NCBI:687
KLF5,NCBI:688
BTF3,NCBI:689
BTF3P11,NCBI:690
BTF3P1,NCBI:693
BTG1,NCBI:694
BTK,NCBI:695
BTN1A1,NCBI:696
BUB1,NCBI:699
BVR1,NCBI:700
BUB1B,NCBI:701
BYSL,NCBI:705
TSPO,NCBI:706
C1QBP,NCBI:708
SERPING1,NCBI:710
ERC2-IT1,NCBI:711
C1QA,NCBI:712
C1QB,NCBI:713
C1QC,NCBI:714
C1R,NCBI:715
C1S,NCBI:716
C2,NCBI:717
C3,NCBI:718
C3AR1,NCBI:719
C4A,NCBI:720
C4B,NCBI:721
C4BPA,NCBI:722
C4BPAP2,NCBI:724
C4BPB,NCBI:725
CAPN5,NCBI:726
C5,NCBI:727
C5AR1,NCBI:728
C6,NCBI:729
C7,NCBI:730
C8A,NCBI:731
C8B,NCBI:732
C8G,NCBI:733
OSGIN2,NCBI:734
C9,NCBI:735
VPS51,NCBI:738
MRPL49,NCBI:740
ZNHIT2,NCBI:741
MPPED2,NCBI:744
MYRF,NCBI:745
TMEM258,NCBI:746
DAGLA,NCBI:747
GAS8-AS1,NCBI:750
FMNL1,NCBI:752
LDLRAD4,NCBI:753
PTTG1IP,NCBI:754
CFAP410,NCBI:755
TMEM50B,NCBI:757
MPPED1,NCBI:758
CA1,NCBI:759
CA2,NCBI:760
CA3,NCBI:761
CA4,NCBI:762
CA5A,NCBI:763
CA5AP1,NCBI:764
CA6,NCBI:765
CA7,NCBI:766
CA8,NCBI:767
CA9,NCBI:768
CA11,NCBI:770
CA12,NCBI:771
CACD,NCBI:772
CACNA1A,NCBI:773
CACNA1B,NCBI:774
CACNA1C,NCBI:775
CACNA1D,NCBI:776
CACNA1E,NCBI:777
CACNA1F,NCBI:778
CACNA1S,NCBI:779
DDR1,NCBI:780
CACNA2D1,NCBI:781
CACNB1,NCBI:782
CACNB2,NCBI:783
CACNB3,NCBI:784
CACNB4,NCBI:785
CACNG1,NCBI:786
SLC25A20,NCBI:788
SLC25A20P1,NCBI:789
CAD,NCBI:790
CALB1,NCBI:793
CALB2,NCBI:794
S100G,NCBI:795
CALCA,NCBI:796
CALCB,NCBI:797
CALCP,NCBI:798
CALCR,NCBI:799
CALD1,NCBI:800
CALM1,NCBI:801
CALM1P1,NCBI:802
CALM1P2,NCBI:804
CALM2,NCBI:805
CALM2P2,NCBI:806
CALM2P3,NCBI:807
CALM3,NCBI:808
CALML3,NCBI:810
CALR,NCBI:811
CALU,NCBI:813
CAMK4,NCBI:814
CAMK2A,NCBI:815
CAMK2B,NCBI:816
CAMK2D,NCBI:817
CAMK2G,NCBI:818
CAMLG,NCBI:819
CAMP,NCBI:820
CANX,NCBI:821
CAPG,NCBI:822
CAPN1,NCBI:823
CAPN2,NCBI:824
CAPN3,NCBI:825
CAPNS1,NCBI:826
CAPN6,NCBI:827
CAPS,NCBI:828
CAPZA1,NCBI:829
CAPZA2,NCBI:830
CAST,NCBI:831
CAPZB,NCBI:832
CARS1,NCBI:833
CASP1,NCBI:834
CASP2,NCBI:835
CASP3,NCBI:836
CASP4,NCBI:837
CASP5,NCBI:838
CASP6,NCBI:839
CASP7,NCBI:840
CASP8,NCBI:841
CASP9,NCBI:842
CASP10,NCBI:843
CASQ1,NCBI:844
CASQ2,NCBI:845
CASR,NCBI:846
CAT,NCBI:847
CATR1,NCBI:856
CAV1,NCBI:857
CAV2,NCBI:858
CAV3,NCBI:859
RUNX2,NCBI:860
RUNX1,NCBI:861
RUNX1T1,NCBI:862
CBFA2T3,NCBI:863
RUNX3,NCBI:864
CBFB,NCBI:865
SERPINA6,NCBI:866
CBL,NCBI:867
CBLB,NCBI:868
CBLN1,NCBI:869
SERPINH1,NCBI:871
CBR1,NCBI:873
CBR3,NCBI:874
CBS,NCBI:875
CCA1,NCBI:878
CCIN,NCBI:881
CCAL1,NCBI:882
KYAT1,NCBI:883
CCK,NCBI:885
CCKAR,NCBI:886
CCKBR,NCBI:887
KRIT1,NCBI:889
CCNA2,NCBI:890
CCNB1,NCBI:891
