# CSV generated from:L
# https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-018-04647-1/MediaObjects/41467_2018_4647_MOESM4_ESM.xlsx
# Supplementary Data 1. Experimentally identified gold standard SL interactions,,,,,,
# ,,,,,,
gene1,gene2,gene1 perturbation,gene2 perturbation,PMID,cancer type tested,SL
MUS81,RUFY3,mut,shRNA,24104479,COAD,0
MUS81,CEACAM19,mut,shRNA,24104479,COAD,0
MUS81,IKZF4,mut,shRNA,24104479,COAD,0
MUS81,LDLRAP1,mut,shRNA,24104479,COAD,0
MUS81,GRHL3,mut,shRNA,24104479,COAD,0
MUS81,PARN,mut,shRNA,24104479,COAD,1
MUS81,LYRM5,mut,shRNA,24104479,COAD,0
MUS81,CYP2W1,mut,shRNA,24104479,COAD,0
MUS81,RAB33A,mut,shRNA,24104479,COAD,0
MUS81,GPRC5C,mut,shRNA,24104479,COAD,0
MUS81,IFT74,mut,shRNA,24104479,COAD,0
MUS81,C1orf105,mut,shRNA,24104479,COAD,0
MUS81,CDC42BPA,mut,shRNA,24104479,COAD,0
MUS81,HIST1H2BN,mut,shRNA,24104479,COAD,0
MUS81,ALMS1,mut,shRNA,24104479,COAD,1
MUS81,ANXA7,mut,shRNA,24104479,COAD,0
MUS81,ASGR1,mut,shRNA,24104479,COAD,0
MUS81,GGA2,mut,shRNA,24104479,COAD,0
MUS81,GNAS,mut,shRNA,24104479,COAD,0
MUS81,KIAA2026,mut,shRNA,24104479,COAD,1
MUS81,LRAT,mut,shRNA,24104479,COAD,0
MUS81,TXNDC11,mut,shRNA,24104479,COAD,1
MUS81,ZDHHC20,mut,shRNA,24104479,COAD,0
MUS81,PGAM2,mut,shRNA,24104479,COAD,0
MUS81,PKN1,mut,shRNA,24104479,COAD,0
MUS81,TRIM14,mut,shRNA,24104479,COAD,0
MUS81,APOC3,mut,shRNA,24104479,COAD,0
MUS81,CCRL2,mut,shRNA,24104479,COAD,0
MUS81,FBXW2,mut,shRNA,24104479,COAD,0
MUS81,HOXC9,mut,shRNA,24104479,COAD,0
MUS81,GPER,mut,shRNA,24104479,COAD,0
MUS81,AKAP8L,mut,shRNA,24104479,COAD,0
MUS81,ZNF157,mut,shRNA,24104479,COAD,0
MUS81,SLC35A1,mut,shRNA,24104479,COAD,0
MUS81,OGFOD1,mut,shRNA,24104479,COAD,0
MUS81,LRIG3,mut,shRNA,24104479,COAD,0
MUS81,HRH2,mut,shRNA,24104479,COAD,0
MUS81,SNRNP35,mut,shRNA,24104479,COAD,0
MUS81,RFTN1,mut,shRNA,24104479,COAD,1
MUS81,OR4K17,mut,shRNA,24104479,COAD,0
MUS81,NCOA2,mut,shRNA,24104479,COAD,0
MUS81,AIRE,mut,shRNA,24104479,COAD,0
MUS81,EFCAB4A,mut,shRNA,24104479,COAD,0
MUS81,MCEE,mut,shRNA,24104479,COAD,0
MUS81,AFG3L1,mut,shRNA,24104479,COAD,0
MUS81,VDAC2,mut,shRNA,24104479,COAD,0
MUS81,CHKB,mut,shRNA,24104479,COAD,0
MUS81,MYL5,mut,shRNA,24104479,COAD,0
MUS81,ASB15,mut,shRNA,24104479,COAD,0
MUS81,NFYC,mut,shRNA,24104479,COAD,0
MUS81,NDUFB4,mut,shRNA,24104479,COAD,0
MUS81,ZNF317,mut,shRNA,24104479,COAD,0
MUS81,C5orf35,mut,shRNA,24104479,COAD,0
MUS81,MARCO,mut,shRNA,24104479,COAD,0
MUS81,GRHPR,mut,shRNA,24104479,COAD,0
MUS81,ACN9,mut,shRNA,24104479,COAD,0
MUS81,ERC1,mut,shRNA,24104479,COAD,0
MUS81,DAP3,mut,shRNA,24104479,COAD,1
MUS81,CDIPT,mut,shRNA,24104479,COAD,0
MUS81,FOXF1,mut,shRNA,24104479,COAD,0
MUS81,MCCC1,mut,shRNA,24104479,COAD,0
MUS81,MED9,mut,shRNA,24104479,COAD,0
MUS81,AMPD3,mut,shRNA,24104479,COAD,0
MUS81,STAG3,mut,shRNA,24104479,COAD,0
MUS81,SEZ6L2,mut,shRNA,24104479,COAD,1
MUS81,ARNTL,mut,shRNA,24104479,COAD,0
MUS81,TOX2,mut,shRNA,24104479,COAD,1
MUS81,PDE1B,mut,shRNA,24104479,COAD,0
MUS81,DCXR,mut,shRNA,24104479,COAD,0
MUS81,ZNF165,mut,shRNA,24104479,COAD,0
MUS81,AMPD2,mut,shRNA,24104479,COAD,0
MUS81,PTCH1,mut,shRNA,24104479,COAD,0
MUS81,ZBTB41,mut,shRNA,24104479,COAD,0
MUS81,MSH4,mut,shRNA,24104479,COAD,0
MUS81,PNPT1,mut,shRNA,24104479,COAD,0
MUS81,ZNF136,mut,shRNA,24104479,COAD,0
MUS81,KRT36,mut,shRNA,24104479,COAD,0
MUS81,CCS,mut,shRNA,24104479,COAD,0
MUS81,CREB3L4,mut,shRNA,24104479,COAD,0
MUS81,IL2,mut,shRNA,24104479,COAD,0
MUS81,TTC12,mut,shRNA,24104479,COAD,0
MUS81,RSPRY1,mut,shRNA,24104479,COAD,0
MUS81,MYLPF,mut,shRNA,24104479,COAD,0
MUS81,LRRC19,mut,shRNA,24104479,COAD,0
MUS81,STK16,mut,shRNA,24104479,COAD,0
MUS81,HEATR4,mut,shRNA,24104479,COAD,0
MUS81,HMGN3,mut,shRNA,24104479,COAD,0
MUS81,TCEB2,mut,shRNA,24104479,COAD,0
MUS81,MLF1IP,mut,shRNA,24104479,COAD,0
MUS81,INPP5B,mut,shRNA,24104479,COAD,0
MUS81,GABRA6,mut,shRNA,24104479,COAD,0
MUS81,MC4R,mut,shRNA,24104479,COAD,0
MUS81,COL3A1,mut,shRNA,24104479,COAD,0
MUS81,SOX10,mut,shRNA,24104479,COAD,1
MUS81,LMO1,mut,shRNA,24104479,COAD,0
MUS81,EPB41,mut,shRNA,24104479,COAD,0
MUS81,CCDC65,mut,shRNA,24104479,COAD,0
MUS81,GPRC6A,mut,shRNA,24104479,COAD,0
MUS81,ZFPM1,mut,shRNA,24104479,COAD,0
MUS81,MPP3,mut,shRNA,24104479,COAD,1
MUS81,LHX2,mut,shRNA,24104479,COAD,0
MUS81,FCRL5,mut,shRNA,24104479,COAD,0
MUS81,PINK1,mut,shRNA,24104479,COAD,1
MUS81,MSH2,mut,shRNA,24104479,COAD,0
MUS81,ZNF256,mut,shRNA,24104479,COAD,0
MUS81,ZNF268,mut,shRNA,24104479,COAD,0
MUS81,CSK,mut,shRNA,24104479,COAD,0
MUS81,SORBS3,mut,shRNA,24104479,COAD,1
MUS81,MOGS,mut,shRNA,24104479,COAD,0
MUS81,TREX2,mut,shRNA,24104479,COAD,0
MUS81,ZNF362,mut,shRNA,24104479,COAD,0
MUS81,C14orf106,mut,shRNA,24104479,COAD,0
MUS81,PTPRO,mut,shRNA,24104479,COAD,0
MUS81,FHOD3,mut,shRNA,24104479,COAD,0
MUS81,C11orf82,mut,shRNA,24104479,COAD,0
MUS81,HOMEZ,mut,shRNA,24104479,COAD,0
MUS81,OR5V1,mut,shRNA,24104479,COAD,0
MUS81,TMEM209,mut,shRNA,24104479,COAD,1
